id;nazwa miasta;nazwa województwa
676;Ostrowiec Świętokrzyski;ŚWIĘTOKRZYSKIE
677;Ćmielów;ŚWIĘTOKRZYSKIE
678;Kunów;ŚWIĘTOKRZYSKIE
679;Działoszyce;ŚWIĘTOKRZYSKIE
680;Pińczów;ŚWIĘTOKRZYSKIE
681;Sandomierz;ŚWIĘTOKRZYSKIE
682;Koprzywnica;ŚWIĘTOKRZYSKIE
683;Zawichost;ŚWIĘTOKRZYSKIE
684;Skarżysko-Kamienna;ŚWIĘTOKRZYSKIE
685;Suchedniów;ŚWIĘTOKRZYSKIE
686;Starachowice;ŚWIĘTOKRZYSKIE
687;Wąchock;ŚWIĘTOKRZYSKIE
688;Osiek;ŚWIĘTOKRZYSKIE
689;Połaniec;ŚWIĘTOKRZYSKIE
690;Staszów;ŚWIĘTOKRZYSKIE
691;Włoszczowa;ŚWIĘTOKRZYSKIE
692;Kielce;ŚWIĘTOKRZYSKIE
693;Bartoszyce;WARMIŃSKO-MAZURSKIE
694;Górowo Iławeckie;WARMIŃSKO-MAZURSKIE
695;Bisztynek;WARMIŃSKO-MAZURSKIE
696;Sępopol;WARMIŃSKO-MAZURSKIE
697;Braniewo;WARMIŃSKO-MAZURSKIE
698;Frombork;WARMIŃSKO-MAZURSKIE
699;Pieniężno;WARMIŃSKO-MAZURSKIE
700;Działdowo;WARMIŃSKO-MAZURSKIE
701;Lidzbark;WARMIŃSKO-MAZURSKIE
702;Młynary;WARMIŃSKO-MAZURSKIE
703;Pasłęk;WARMIŃSKO-MAZURSKIE
704;Tolkmicko;WARMIŃSKO-MAZURSKIE
705;Ełk;WARMIŃSKO-MAZURSKIE
706;Giżycko;WARMIŃSKO-MAZURSKIE
707;Ryn;WARMIŃSKO-MAZURSKIE
708;Iława;WARMIŃSKO-MAZURSKIE
709;Lubawa;WARMIŃSKO-MAZURSKIE
710;Kisielice;WARMIŃSKO-MAZURSKIE
711;Susz;WARMIŃSKO-MAZURSKIE
712;Zalewo;WARMIŃSKO-MAZURSKIE
713;Kętrzyn;WARMIŃSKO-MAZURSKIE
714;Korsze;WARMIŃSKO-MAZURSKIE
715;Reszel;WARMIŃSKO-MAZURSKIE
716;Lidzbark Warmiński;WARMIŃSKO-MAZURSKIE
717;Orneta;WARMIŃSKO-MAZURSKIE
718;Mrągowo;WARMIŃSKO-MAZURSKIE
719;Mikołajki;WARMIŃSKO-MAZURSKIE
720;Nidzica;WARMIŃSKO-MAZURSKIE
721;Nowe Miasto Lubawskie;WARMIŃSKO-MAZURSKIE
722;Olecko;WARMIŃSKO-MAZURSKIE
723;Barczewo;WARMIŃSKO-MAZURSKIE
724;Biskupiec;WARMIŃSKO-MAZURSKIE
725;Dobre Miasto;WARMIŃSKO-MAZURSKIE
726;Jeziorany;WARMIŃSKO-MAZURSKIE
727;Olsztynek;WARMIŃSKO-MAZURSKIE
728;Ostróda;WARMIŃSKO-MAZURSKIE
729;Miłakowo;WARMIŃSKO-MAZURSKIE
730;Miłomłyn;WARMIŃSKO-MAZURSKIE
731;Morąg;WARMIŃSKO-MAZURSKIE
732;Biała Piska;WARMIŃSKO-MAZURSKIE
733;Orzysz;WARMIŃSKO-MAZURSKIE
734;Pisz;WARMIŃSKO-MAZURSKIE
735;Ruciane-Nida;WARMIŃSKO-MAZURSKIE
736;Szczytno;WARMIŃSKO-MAZURSKIE
737;Pasym;WARMIŃSKO-MAZURSKIE
738;Gołdap;WARMIŃSKO-MAZURSKIE
739;Węgorzewo;WARMIŃSKO-MAZURSKIE
740;Elbląg;WARMIŃSKO-MAZURSKIE
741;Olsztyn;WARMIŃSKO-MAZURSKIE
742;Chodzież;WIELKOPOLSKIE
743;Margonin;WIELKOPOLSKIE
744;Szamocin;WIELKOPOLSKIE
745;Czarnków;WIELKOPOLSKIE
746;Krzyż Wielkopolski;WIELKOPOLSKIE
747;Trzcianka;WIELKOPOLSKIE
748;Wieleń;WIELKOPOLSKIE
749;Gniezno;WIELKOPOLSKIE
750;Czerniejewo;WIELKOPOLSKIE
751;Kłecko;WIELKOPOLSKIE
752;Trzemeszno;WIELKOPOLSKIE
753;Witkowo;WIELKOPOLSKIE
754;Borek Wielkopolski;WIELKOPOLSKIE
755;Gostyń;WIELKOPOLSKIE
756;Krobia;WIELKOPOLSKIE
757;Pogorzela;WIELKOPOLSKIE
758;Poniec;WIELKOPOLSKIE
759;Grodzisk Wielkopolski;WIELKOPOLSKIE
760;Rakoniewice;WIELKOPOLSKIE
761;Wielichowo;WIELKOPOLSKIE
762;Jaraczewo;WIELKOPOLSKIE
763;Jarocin;WIELKOPOLSKIE
764;Żerków;WIELKOPOLSKIE
765;Stawiszyn;WIELKOPOLSKIE
766;Kępno;WIELKOPOLSKIE
767;Koło;WIELKOPOLSKIE
768;Dąbie;WIELKOPOLSKIE
769;Kłodawa;WIELKOPOLSKIE
770;Przedecz;WIELKOPOLSKIE
771;Golina;WIELKOPOLSKIE
772;Kleczew;WIELKOPOLSKIE
773;Rychwał;WIELKOPOLSKIE
774;Sompolno;WIELKOPOLSKIE
775;Ślesin;WIELKOPOLSKIE
776;Kościan;WIELKOPOLSKIE
777;Czempiń;WIELKOPOLSKIE
778;Krzywiń;WIELKOPOLSKIE
779;Śmigiel;WIELKOPOLSKIE
780;Sulmierzyce;WIELKOPOLSKIE
781;Kobylin;WIELKOPOLSKIE
782;Koźmin Wielkopolski;WIELKOPOLSKIE
783;Krotoszyn;WIELKOPOLSKIE
784;Zduny;WIELKOPOLSKIE
785;Osieczna;WIELKOPOLSKIE
786;Rydzyna;WIELKOPOLSKIE
787;Międzychód;WIELKOPOLSKIE
788;Sieraków;WIELKOPOLSKIE
789;Lwówek;WIELKOPOLSKIE
790;Nowy Tomyśl;WIELKOPOLSKIE
791;Opalenica;WIELKOPOLSKIE
792;Zbąszyń;WIELKOPOLSKIE
793;Oborniki;WIELKOPOLSKIE
794;Rogoźno;WIELKOPOLSKIE
795;Ostrów Wielkopolski;WIELKOPOLSKIE
796;Nowe Skalmierzyce;WIELKOPOLSKIE
797;Odolanów;WIELKOPOLSKIE
798;Raszków;WIELKOPOLSKIE
799;Grabów nad Prosną;WIELKOPOLSKIE
800;Mikstat;WIELKOPOLSKIE
801;Ostrzeszów;WIELKOPOLSKIE
802;Piła;WIELKOPOLSKIE
803;Łobżenica;WIELKOPOLSKIE
804;Ujście;WIELKOPOLSKIE
805;Wyrzysk;WIELKOPOLSKIE
806;Wysoka;WIELKOPOLSKIE
807;Chocz;WIELKOPOLSKIE
808;Dobrzyca;WIELKOPOLSKIE
809;Pleszew;WIELKOPOLSKIE
810;Luboń;WIELKOPOLSKIE
811;Puszczykowo;WIELKOPOLSKIE
812;Buk;WIELKOPOLSKIE
813;Kostrzyn;WIELKOPOLSKIE
814;Kórnik;WIELKOPOLSKIE
815;Mosina;WIELKOPOLSKIE
816;Murowana Goślina;WIELKOPOLSKIE
817;Pobiedziska;WIELKOPOLSKIE
818;Stęszew;WIELKOPOLSKIE
819;Swarzędz;WIELKOPOLSKIE
820;Bojanowo;WIELKOPOLSKIE
821;Jutrosin;WIELKOPOLSKIE
822;Miejska Górka;WIELKOPOLSKIE
823;Rawicz;WIELKOPOLSKIE
824;Słupca;WIELKOPOLSKIE
825;Zagórów;WIELKOPOLSKIE
826;Obrzycko;WIELKOPOLSKIE
827;Ostroróg;WIELKOPOLSKIE
828;Pniewy;WIELKOPOLSKIE
829;Szamotuły;WIELKOPOLSKIE
830;Wronki;WIELKOPOLSKIE
831;Środa Wielkopolska;WIELKOPOLSKIE
832;Dolsk;WIELKOPOLSKIE
833;Książ Wielkopolski;WIELKOPOLSKIE
834;Śrem;WIELKOPOLSKIE
835;Turek;WIELKOPOLSKIE
836;Dobra;WIELKOPOLSKIE
837;Tuliszków;WIELKOPOLSKIE
838;Wągrowiec;WIELKOPOLSKIE
839;Gołańcz;WIELKOPOLSKIE
840;Skoki;WIELKOPOLSKIE
841;Wolsztyn;WIELKOPOLSKIE
842;Miłosław;WIELKOPOLSKIE
843;Nekla;WIELKOPOLSKIE
844;Pyzdry;WIELKOPOLSKIE
845;Września;WIELKOPOLSKIE
846;Złotów;WIELKOPOLSKIE
847;Jastrowie;WIELKOPOLSKIE
848;Krajenka;WIELKOPOLSKIE
849;Okonek;WIELKOPOLSKIE
850;Kalisz;WIELKOPOLSKIE
851;Konin;WIELKOPOLSKIE
852;Leszno;WIELKOPOLSKIE
853;Poznań;WIELKOPOLSKIE
854;Białogard;ZACHODNIOPOMORSKIE
855;Karlino;ZACHODNIOPOMORSKIE
856;Tychowo;ZACHODNIOPOMORSKIE
857;Choszczno;ZACHODNIOPOMORSKIE
858;Drawno;ZACHODNIOPOMORSKIE
859;Pełczyce;ZACHODNIOPOMORSKIE
860;Recz;ZACHODNIOPOMORSKIE
861;Czaplinek;ZACHODNIOPOMORSKIE
862;Drawsko Pomorskie;ZACHODNIOPOMORSKIE
863;Kalisz Pomorski;ZACHODNIOPOMORSKIE
864;Złocieniec;ZACHODNIOPOMORSKIE
865;Goleniów;ZACHODNIOPOMORSKIE
866;Maszewo;ZACHODNIOPOMORSKIE
867;Nowogard;ZACHODNIOPOMORSKIE
868;Stepnica;ZACHODNIOPOMORSKIE
869;Gryfice;ZACHODNIOPOMORSKIE
870;Płoty;ZACHODNIOPOMORSKIE
871;Trzebiatów;ZACHODNIOPOMORSKIE
872;Cedynia;ZACHODNIOPOMORSKIE
873;Chojna;ZACHODNIOPOMORSKIE
874;Gryfino;ZACHODNIOPOMORSKIE
875;Mieszkowice;ZACHODNIOPOMORSKIE
876;Moryń;ZACHODNIOPOMORSKIE
877;Trzcińsko-Zdrój;ZACHODNIOPOMORSKIE
878;Dziwnów;ZACHODNIOPOMORSKIE
879;Golczewo;ZACHODNIOPOMORSKIE
880;Kamień Pomorski;ZACHODNIOPOMORSKIE
881;Międzyzdroje;ZACHODNIOPOMORSKIE
882;Wolin;ZACHODNIOPOMORSKIE
883;Kołobrzeg;ZACHODNIOPOMORSKIE
884;Gościno;ZACHODNIOPOMORSKIE
885;Bobolice;ZACHODNIOPOMORSKIE
886;Polanów;ZACHODNIOPOMORSKIE
887;Sianów;ZACHODNIOPOMORSKIE
888;Barlinek;ZACHODNIOPOMORSKIE
889;Dębno;ZACHODNIOPOMORSKIE
890;Myślibórz;ZACHODNIOPOMORSKIE
891;Nowe Warpno;ZACHODNIOPOMORSKIE
892;Police;ZACHODNIOPOMORSKIE
893;Lipiany;ZACHODNIOPOMORSKIE
894;Pyrzyce;ZACHODNIOPOMORSKIE
895;Darłowo;ZACHODNIOPOMORSKIE
896;Sławno;ZACHODNIOPOMORSKIE
897;Stargard;ZACHODNIOPOMORSKIE
898;Chociwel;ZACHODNIOPOMORSKIE
899;Dobrzany;ZACHODNIOPOMORSKIE
900;Ińsko;ZACHODNIOPOMORSKIE
901;Suchań;ZACHODNIOPOMORSKIE
902;Szczecinek;ZACHODNIOPOMORSKIE
903;Barwice;ZACHODNIOPOMORSKIE
904;Biały Bór;ZACHODNIOPOMORSKIE
905;Borne Sulinowo;ZACHODNIOPOMORSKIE
906;Świdwin;ZACHODNIOPOMORSKIE
907;Połczyn-Zdrój;ZACHODNIOPOMORSKIE
908;Wałcz;ZACHODNIOPOMORSKIE
909;Człopa;ZACHODNIOPOMORSKIE
910;Mirosławiec;ZACHODNIOPOMORSKIE
911;Tuczno;ZACHODNIOPOMORSKIE
912;Dobra;ZACHODNIOPOMORSKIE
913;Łobez;ZACHODNIOPOMORSKIE
914;Resko;ZACHODNIOPOMORSKIE
915;Węgorzyno;ZACHODNIOPOMORSKIE
916;Koszalin;ZACHODNIOPOMORSKIE
917;Szczecin;ZACHODNIOPOMORSKIE
918;Świnoujście;ZACHODNIOPOMORSKIE
